Provinsi,Tahun,Produksi
BANTEN,2022,1788583.0
BALI,2022,6806016.0
NUSA TENGGARA BARAT,2022,1452945.0
NUSA TENGGARA TIMUR,2022,7560499.0
KALIMANTAN BARAT,2022,7312258.0
KALIMANTAN TENGAH,2022,3439188.0
KALIMANTAN SELATAN,2022,8194192.0
KALIMANTAN TIMUR,2022,2394253.0
KALIMANTAN UTARA,2022,3053359.0
SULAWESI UTARA,2022,2437303.0
SULAWESI TENGAH,2022,7444087.0
SULAWESI SELATAN,2022,5360169.0
SULAWESI TENGGARA,2022,478958.0
GORONTALO,2022,2401345.0
SULAWESI BARAT,2022,3535133.0
MALUKU,2022,9260106.0
MALUKU UTARA,2022,2448603.0
PAPUA BARAT,2022,2396392.0
PAPUA BARAT DAYA,2022,
PAPUA,2022,1939435.0
PAPUA SELATAN,2022,
PAPUA TENGAH,2022,
PAPUA PEGUNUNGAN,2022,
,2023,
ACEH,2023,140423482.0
SUMATERA UTARA,2023,208747415.0
SUMATERA BARAT,2023,148246879.0
RIAU,2023,20597255.0
JAMBI,2023,27594145.0
SUMATERA SELATAN,2023,283277392.0
BENGKULU,2023,28668443.0
LAMPUNG,2023,275789819.0
KEP. BANGKA BELITUNG,2023,6646889.0
KEP. RIAU,2023,32401.0
DKI JAKARTA,2023,267428.0
JAWA BARAT,2023,91400392.0
JAWA TENGAH,2023,908410753.0
DI YOGYAKARTA,2023,53411369.0
JAWA TIMUR,2023,971066133.0
BANTEN,2023,168648329.0
BALI,2023,67358065.0
NUSA TENGGARA BARAT,2023,153853692.0
NUSA TENGGARA TIMUR,2023,76681046.0
KALIMANTAN BARAT,2023,7002908.0
KALIMANTAN TENGAH,2023,33078105.0
KALIMANTAN SELATAN,2023,87554573.0
KALIMANTAN TIMUR,2023,22697207.0
KALIMANTAN UTARA,2023,236020.0
SULAWESI UTARA,2023,23819341.0
SULAWESI TENGAH,2023,82136741.0
SULAWESI SELATAN,2023,487638611.0
SULAWESI TENGGARA,2023,47940725.0
GORONTALO,2023,25143176.0
SULAWESI BARAT,2023,29145859.0
MALUKU,2023,7995834.0
MALUKU UTARA,2023,2666323.0
PAPUA BARAT,2023,2256681.0
PAPUA BARAT DAYA,2023,239695.0
PAPUA,2023,376045.0
PAPUA SELATAN,2023,18362783.0
PAPUA TENGAH,2023,927322.0
PAPUA PEGUNUNGAN,2023,6163.0
,2024,
ACEH,2024,165996628.0
SUMATERA UTARA,2024,220487551.0
SUMATERA BARAT,2024,135646793.0
RIAU,2024,22205571.0
JAMBI,2024,28102205.0
SUMATERA SELATAN,2024,290941167.0
BENGKULU,2024,27284855.0
LAMPUNG,2024,279134753.0
KEP. BANGKA BELITUNG,2024,7748979.0
KEP. RIAU,2024,30509.0
DKI JAKARTA,2024,230654.0
JAWA BARAT,2024,862687991.0
JAWA TENGAH,2024,889129705.0
DI YOGYAKARTA,2024,45283177.0
JAWA TIMUR,2024,927043529.0
BANTEN,2024,155062346.0
BALI,2024,63547335.0
NUSA TENGGARA BARAT,2024,145340837.0
NUSA TENGGARA TIMUR,2024,70779254.0
KALIMANTAN BARAT,2024,76478415.0
KALIMANTAN TENGAH,2024,36614682.0
KALIMANTAN SELATAN,2024,102956793.0
KALIMANTAN TIMUR,2024,2496429.0
KALIMANTAN UTARA,2024,3007977.0
SULAWESI UTARA,2024,27313494.0
SULAWESI TENGAH,2024,76193639.0
SULAWESI SELATAN,2024,481842939.0
SULAWESI TENGGARA,2024,55583608.0
GORONTALO,2024,23486288.0
SULAWESI BARAT,2024,31887659.0
MALUKU,2024,9112535.0
MALUKU UTARA,2024,3123295.0
PAPUA BARAT,2024,2072915.0
PAPUA BARAT DAYA,2024,98864.0
PAPUA,2024,460995.0
PAPUA SELATAN,2024,21778962.0
PAPUA TENGAH,2024,607238.0
PAPUA PEGUNUNGAN,2024,4238.0
